ID,Username,Post Message,,Location
1,@HindHassanNews,I keep thinking about the thousands trapped under the rubble; their relief when they're rescued or the desperation when they realise help won't get to them. This is our report from Syria & Turkey on the miracles &endless tragedies caused by the earthquakes https://t.co/fGHhVWxWLY,,"Antakya, Turkey / Northwest Syria"
2,@AJEnglish,Victims still alive under rubble plead for help after Turkey and Syria's earthquakes and aftershocks - but rescuers are stretched to their limits ⤵️ https://t.co/fLtr3wzR9o,,"Kahramanmaraş, Turkey / Idlib, Syria"
3,@AJEnglish,"Videos of a woman who filmed herself trapped under earthquake rubble and a father calling out to his son, reveal the desperate situation people are facing across Turkey and Syria as they wait to be rescued ⤵️",,"Hatay, Turkey / Aleppo, Syria"
4,@activistjyot,People & Children trapped in collapsed and damaged buildings cry for help as aftershocks continue to hit Turkey and Syria #Turkey #Syria #syriaearthquake #earthquake #TurkeyEarthquake,,"Gaziantep, Turkey / Jandaris, Syria"
5,@OnuaSmart,"Still Rescuers race against time to find survivors under huge piles of rubble, 2days after earthquakes and aftershocks struck Turkey and Syria. Fears grow for the untold numbers still trapped amidst harsh weather and our Christian Atsu still not found. God save our brother.",,"Antakya, Turkey / Harem, Syria"
6,@trtworld,Search & rescue teams continue scouring under debris for any signs of life after #TurkiyeQuakes Follow this chain for our latest coverage for February 10 👇 https://t.co/atZSnSaCtq,,"Kahramanmaraş, Turkey"
7,@lalarian,Arrived to S Turkey yesterday & never saw scenes like these before. Whole streets across Hatay province have entire families under rubble. Every single person has lost someone. 2 people were rescued after 63 hours under rubble in freezing cold— small miracles in the devastation.,,"Hatay, Turkey"
8,@ANI,"Turkey | Survivors of devastating earthquakes forced to live in the open, in Antakya city, as their houses have turned into heaps of debris amid widespread loss of life & property in the region. #TurkeySyriaEarthquake",,"Antakya, Turkey"
9,@OfficialMalbec,"Turkey: The voice of the citizens under the rubble in the affected area is rising: ""Help us"" At this time, all communication channels must help with news with the location of victims and requests for help. #Turkey #PrayForTurkey #deprem #Turkiye #هزة_أرضية #زلزال #Tsunami #Syria",,"Kahramanmaraş, Turkey"
10,@amanpour,"Desperate rescue efforts are continuing in Turkey and Syria after the devastating earthquakes. Take three minutes to watch this amazing report from @SalmaCNN, with some extraordinary stories of survival amidst the destruction and grief.",,"Gaziantep, Turkey / Idlib, Syria"
11,@DasenThathiah,"Another structure was being searched for survivors. There were none. This man saw us, and offered us water out of the blue. He lost his entire family - yet he was worried about our well-being. I will tell you stories about Turkish hospitality soon. #TurkeySyriaEarthquake",,"Antakya, Turkey"
12,@yourturkishfave,My coworker's entire family and extended family are under rubbles in different areas of the same city. She says she couldn't get ahold of half of them. I'm afraid the aftermath will be worse than expected. Keep making dua please and send donations. Even a dollar can save a life!,,"Hatay, Turkey"
13,@no_itsmyturn,"Kahramanmaraş #Turkey 🇹🇷 ""Please help, Seçkinler sitesi, we're under the ruins, one of our friends is not responding, we're 3 people [trapped], [mentions their names], Please help"" #Deprem",,"Kahramanmaraş, Turkey"
14,@activistjyot,People stuck in cramped space under concrete slabs of Building Debris… #TurkeyEarthquake #earthquake #Turkey #earthquaketurkey #Syria #syriaearthquake #TurkeyQuake #Syrie,,"Adıyaman, Turkey"
15,@UNOCHA,#Türkiye-#Syria earthquake: Situation remains dire with hundreds of people trapped under the rubble in cold winter conditions. Over 50 emergency response & search-and-rescue teams are deployed. US$25 million was released by @UNCERF to support the response. Latest updates:,,"Idlib, Syria / Kahramanmaraş, Turkey"
16,@sbbbh61,"Helping out here ""I'm Exo-L from Turkey. Turkey is facing 4th lvl alert which includes international call for help. Ten cities facing earthquake and lots ppl still under the rubble and out in cold. If u are looking way to help, u can donate to AHBAP or simply rt to spread. 🥺",,"Multiple cities, Turkey"
17,@ragipsoylu,Thousands of people are calling specific help for Hatay where Turkish rescue workers couldn't reach nearly for 24 hours. It is awful. Too many messages of people in the rubble. People who speak from the city only cry. That's the only thing they could do,,"Hatay, Turkey"
18,@Khalsa_Aid,"A powerful 7.8 magnitude #earthquake hit #Turkey & #Syria on 6th February. Over 47,000 people have died with several thousands displaced. Over the past 2 weeks, our volunteers from our global chapters have assisted with providing hot meals, blankets, warm jackets & emergency kits",,"Adıyaman, Turkey / Aleppo, Syria"
19,@activistjyot,People searching for their family members trapped under building debris as buildings reduced to rubble in powerful earthquakes that hit Turkey and Syria… #earthquake #earthquakeinturkey #Turkey #earthquaketurkey #Syria #syriaearthquake #Turkiye #Turkish,,"Antakya, Turkey"
20,@trtworld,#TurkiyeQuakes: Hope remains as rescuers save a woman from under the rubble in Gaziantep 170 hours after last Monday's deadly disaster in Türkiye and Syria Follow this chain for our latest coverage for February 13👇 https://trt.global/world/article/65370,,"Gaziantep, Turkey"
21,@VeraMBergen,"A group of Turkish programmers, aided by thousands of global volunteers, collected tweets through geo-tagging & hashtags, created a heat map showing where the calls for help from survivors were concentrated and shared it w/ rescue crews & NGOs in the field https://time.com/6254500/turkey-earthquake-twitter-musk-rescue/",,"Multiple locations, Turkey"
22,@MeghUpdates,"Turkey-Syria #earthquake: 🔴 5300+ dead 🔴 32,500+ injured 🔴 4500+ buildings collapsed 🔴 350,000+ without homes 🔴 Turkey declare emergency for 3 months in 10 affected provices 🟢 10,000 rescued 🟢World has united to help #TurkeyEarthquake #Syria #syriaearthquake #Turkey",,"10 provinces, Turkey / Northwest Syria"
23,@simgandi,"I've never felt so desperate in my life. Hatay, my hometown, is completely destroyed. Everyone I know has lost someone or is about to. Everyone I know calls for rescue efforts to save someone they love. Help on the ground can't match the scale of destruction. Help if you can👇",,"Hatay, Turkey"
24,@KhaledBeydoun,Three people rescued from rubble 11 days after earthquake in Turkey 🇹🇷,,"Kahramanmaraş, Turkey"
25,@FARED_ALHOR," ""Rescue efforts continue non-stop trying to save people stuck under the rubble after the devastating Earthquake hit Northwest Syria and South Turkey.""2023-02-07 09:19:17""",,
26,@Khalsa_Aid,"A powerful 7.8 magnitude #earthquake hit #Turkey & #Syria on 6th February. Over 47,000 people have died with several thousands displaced. Our teams are on ground providing relief.",,"Adıyaman, Turkey / Aleppo, Syria"
27,@mehmet_yilmaz,"URGENT! My family is trapped in Atatürk apartment, 4th floor, block C in Antakya center. We can hear them calling. PLEASE SEND HELP! #deprem #Antakya",,"Antakya, Turkey"
28,@sara_damascus,"My cousin and her 3 children are under rubble in Jandaris, Al-Shifa building near the mosque. No rescue teams reached yet. PLEASE HELP #Syria #earthquake",,"Jandaris, Syria"
29,@rescue_volunteer,Just pulled out a 7 year old girl alive from debris in Kahramanmaraş after 28 hours. She's asking for her mother. Teams still searching. #TurkeyQuake,,"Kahramanmaraş, Turkey"
30,@fatima_aleppo,"Aleppo is destroyed again. We survived the war only to face this. Building collapsed on my street, 15 families trapped. Where is the help? #Aleppo #SyriaEarthquake",,"Aleppo, Syria"
31,@EmergencyTR,"Search and rescue operations ongoing in Gaziantep. If you know someone trapped, share exact location with coordinates. Every second counts. #TurkeyEarthquake",,"Gaziantep, Turkey"
32,@ahmet_istanbul,"My parents live in Hatay, haven't heard from them since 4am. Their building collapsed. Yıldız apartment, Defne district. Anyone with information please contact me! #Hatay #deprem",,"Hatay, Turkey"
33,@relief_worker_23,"In Adıyaman now. The devastation is beyond words. Entire neighborhoods are gone. We need more hands, more equipment, more time. #AdıyamanEarthquake",,"Adıyaman, Turkey"
34,@zeynep_ankara,"Sending supplies from Ankara to affected areas. If anyone needs specific items (baby formula, medicine, blankets) please list below. We'll try to help. #TurkeyStrong",,"Ankara to affected areas, Turkey"
